path,width,height,alpha_min,alpha_max
04_planets/05_asteroids/05_asteroids_044.png,83,74,0,255
04_planets/05_asteroids/05_asteroids_045.png,81,72,0,255
04_planets/05_asteroids/05_asteroids_046.png,82,66,0,255
04_planets/05_asteroids/05_asteroids_047.png,81,58,0,255
04_planets/05_asteroids/05_asteroids_048.png,86,99,0,255
04_planets/05_asteroids/05_asteroids_049.png,78,88,0,255
04_planets/05_asteroids/05_asteroids_050.png,60,74,0,255
04_planets/05_asteroids/05_asteroids_051.png,69,70,0,255
04_planets/05_asteroids/05_asteroids_052.png,78,77,0,255
04_planets/05_asteroids/05_asteroids_053.png,73,60,0,255
04_planets/05_asteroids/05_asteroids_054.png,76,57,0,255
05_ui/books/open-book-glow.png,465,225,255,255
05_ui/bubbles/chat-bubble-purple.png,205,200,255,255
05_ui/splashes/water-splash-blue.png,330,170,255,255
05_ui/stars/star-badge-yellow.png,175,200,255,255
